Date,Open,High,Low,Close,Volume,Daily_Return_%
2024-08-20,2.890000104904175,2.9100000858306885,2.7699999809265137,2.809999942779541,168223973,-1.748250145114394
2024-08-21,2.8299999237060547,2.8399999141693115,2.7699999809265137,2.7699999809265137,90092284,-1.4234862159271389
2024-08-22,2.7899999618530273,2.9000000953674316,2.7799999713897705,2.859999895095825,179916948,3.2490943967157904
2024-08-23,2.880000114440918,2.9200000762939453,2.799999952316284,2.809999942779541,165929831,-1.748250145114394
2024-08-26,2.8499999046325684,2.859999895095825,2.7899999618530273,2.7899999618530273,90834756,-0.7117431079635694
2024-08-27,2.799999952316284,2.809999942779541,2.740000009536743,2.75,86043762,-1.4336904085998858
2024-08-28,2.759999990463257,2.7899999618530273,2.7100000381469727,2.7200000286102295,88559770,-1.0909080505371094
2024-08-29,2.740000009536743,2.740000009536743,2.6500000953674316,2.690000057220459,101156860,-1.1029401130226768
2024-08-30,2.7200000286102295,2.7300000190734863,2.6600000858306885,2.6700000762939453,75134242,-0.743493698925024
2024-09-02,2.680000066757202,2.690000057220459,2.5799999237060547,2.609999895095825,103795150,-2.247197733469819
2024-09-03,2.630000114440918,2.6600000858306885,2.5899999141693115,2.609999895095825,117953328,0.0
2024-09-04,2.5999999046325684,2.619999885559082,2.5399999618530273,2.5899999141693115,155578302,-0.7662828249186293
2024-09-05,2.5999999046325684,2.609999895095825,2.5199999809265137,2.549999952316284,92066125,-1.544400122725742
2024-09-06,2.559999942779541,2.569999933242798,2.4200000762939453,2.450000047683716,149934378,-3.921564960882995
2024-09-09,2.450000047683716,2.4600000381469727,2.359999895095825,2.380000114440918,103652755,-2.857140076751319
2024-09-10,2.390000104904175,2.490000009536743,2.390000104904175,2.490000009536743,81463685,4.621844109518669
2024-09-11,2.559999942779541,2.609999895095825,2.5299999713897705,2.609999895095825,106702454,4.81927249395504
2024-09-12,2.690000057220459,2.7200000286102295,2.509999990463257,2.5799999237060547,138422815,-1.1494242373779495
2024-09-13,2.5799999237060547,2.619999885559082,2.549999952316284,2.559999942779541,63118584,-0.7751930820906638
2024-09-16,2.569999933242798,2.5899999141693115,2.490000009536743,2.490000009536743,66663092,-2.7343724534147795
2024-09-17,2.5,2.5199999809265137,2.440000057220459,2.450000047683716,56500919,-1.6064241646516764
2024-09-18,2.4600000381469727,2.5399999618530273,2.450000047683716,2.490000009536743,104174854,1.632651472429325
2024-09-19,2.509999990463257,2.559999942779541,2.359999895095825,2.369999885559082,109536289,-4.819282068998332
2024-09-20,2.369999885559082,2.4200000762939453,2.3499999046325684,2.380000114440918,74919703,0.42195060610632495
2024-09-23,2.4200000762939453,2.4200000762939453,2.369999885559082,2.380000114440918,65523117,0.0
2024-09-24,2.390000104904175,2.4600000381469727,2.3499999046325684,2.4100000858306885,112844199,1.260502938959629
2024-09-25,2.440000057220459,2.440000057220459,2.2799999713897705,2.2799999713897705,131776040,-5.394195427844107
2024-09-26,2.2799999713897705,2.390000104904175,2.259999990463257,2.390000104904175,91847263,4.824567319944029
2024-09-27,2.5,2.5,2.5,2.5,19356116,4.602505868937423
2024-09-30,2.619999885559082,2.619999885559082,2.390000104904175,2.4000000953674316,187982264,-3.9999961853027344
2024-10-01,2.440000057220459,2.440000057220459,2.3499999046325684,2.390000104904175,106667916,-0.4166662527455345
2024-10-03,2.369999885559082,2.4100000858306885,2.319999933242798,2.3499999046325684,78067380,-1.6736484734677592
2024-10-04,2.359999895095825,2.4000000953674316,2.309999942779541,2.309999942779541,73809417,-1.702126105374524
2024-10-07,2.319999933242798,2.3299999237060547,2.190000057220459,2.190000057220459,121870284,-5.194800369332064
2024-10-08,2.190000057220459,2.2899999618530273,2.130000114440918,2.2899999618530273,154951901,4.56620557167875
2024-10-09,2.3399999141693115,2.369999885559082,2.2699999809265137,2.2899999618530273,81814606,0.0
2024-10-10,2.319999933242798,2.319999933242798,2.2300000190734863,2.25,60471395,-1.746723254120064
2024-10-11,2.2699999809265137,2.359999895095825,2.2200000286102295,2.359999895095825,107792194,4.888884226481127
2024-10-14,2.4000000953674316,2.4100000858306885,2.299999952316284,2.319999933242798,69609628,-1.6949137131806236
2024-10-15,2.319999933242798,2.3299999237060547,2.2699999809265137,2.299999952316284,46064846,-0.8620681681899223
2024-10-16,2.299999952316284,2.309999942779541,2.259999990463257,2.259999990463257,40398075,-1.739128812274282
2024-10-17,2.2799999713897705,2.309999942779541,2.2300000190734863,2.240000009536743,61501075,-0.8849549119871458
2024-10-18,2.240000009536743,2.25,2.2100000381469727,2.2200000286102295,44696063,-0.8928562875609058
2024-10-21,2.240000009536743,2.25,2.140000104904175,2.1500000953674316,61897961,-3.153150105435787
2024-10-22,2.0899999141693115,2.1600000858306885,2.0399999618530273,2.0399999618530273,125393754,-5.1162850527969645
2024-10-23,1.9800000190734863,2.049999952316284,1.9299999475479126,1.9900000095367432,213339493,-2.4509781005518705
2024-10-24,2.0,2.0799999237060547,1.9800000190734863,2.0799999237060547,79197993,4.522608730552857
2024-10-25,2.0999999046325684,2.109999895095825,1.9700000286102295,1.9700000286102295,135387656,-5.288456688971033
2024-10-28,1.9600000381469727,1.9800000190734863,1.8799999952316284,1.9500000476837158,156303794,-1.0152274434545583
2024-10-29,1.9600000381469727,1.9600000381469727,1.8600000143051147,1.899999976158142,73764760,-2.5641061693801315
2024-10-30,1.8700000047683716,1.9900000095367432,1.850000023841858,1.9900000095367432,60350377,4.736843921471201
2024-10-31,2.009999990463257,2.0799999237060547,2.0,2.0799999237060547,30624019,4.522608730552857
2024-11-01,2.1700000762939453,2.180000066757202,2.1500000953674316,2.180000066757202,11993523,4.807699361496676
2024-11-04,2.25,2.25,2.0799999237060547,2.109999895095825,118763708,-3.211016950357426
2024-11-05,2.140000104904175,2.2100000381469727,2.069999933242798,2.200000047683716,145553359,4.265410287321525
2024-11-06,2.2100000381469727,2.2899999618530273,2.140000104904175,2.259999990463257,77194586,2.7272700672307915
2024-11-07,2.2799999713897705,2.319999933242798,2.2200000286102295,2.2300000190734863,73655846,-1.3274323679807187
2024-11-08,2.25,2.2699999809265137,2.1700000762939453,2.180000066757202,45268845,-2.242150308907087
2024-11-11,2.200000047683716,2.240000009536743,2.119999885559082,2.130000114440918,53138184,-2.2935757240897803
2024-11-12,2.130000114440918,2.180000066757202,2.0999999046325684,2.109999895095825,52527622,-0.9389773835924098
2024-11-13,2.0799999237060547,2.130000114440918,2.009999990463257,2.0199999809265137,71385173,-4.265398987862234
2024-11-14,2.0199999809265137,2.069999933242798,2.0,2.009999990463257,55028655,-0.49504903750891005
2024-11-18,2.0399999618530273,2.109999895095825,1.9600000381469727,2.0899999141693115,143711520,3.9800957256530545
2024-11-19,2.109999895095825,2.190000057220459,2.0399999618530273,2.049999952316284,64676650,-1.9138738514697828
2024-11-21,2.0399999618530273,2.0899999141693115,2.0,2.009999990463257,42328849,-1.9512176967531936
2024-11-22,2.0199999809265137,2.049999952316284,2.0,2.0199999809265137,41110620,0.4975119657066207
2024-11-25,2.0799999237060547,2.0799999237060547,1.9900000095367432,2.009999990463257,47252862,-0.49504903750891005
2024-11-26,2.009999990463257,2.109999895095825,1.9900000095367432,2.069999933242798,85435102,2.985071794239791
2024-11-27,2.0999999046325684,2.109999895095825,2.049999952316284,2.0799999237060547,43319562,0.4830913423070182
2024-11-28,2.0999999046325684,2.180000066757202,2.069999933242798,2.109999895095825,76855578,1.4423063697193816
2024-11-29,2.130000114440918,2.130000114440918,2.0799999237060547,2.0999999046325684,36597167,-0.47393322087357914
2024-12-02,2.119999885559082,2.119999885559082,2.069999933242798,2.069999933242798,45657747,-1.4285701310552956
2024-12-03,2.0899999141693115,2.1600000858306885,2.0799999237060547,2.130000114440918,52571978,2.898559571648174
2024-12-04,2.1600000858306885,2.1600000858306885,2.0899999141693115,2.109999895095825,47877445,-0.9389773835924098
2024-12-05,2.140000104904175,2.140000104904175,2.0899999141693115,2.109999895095825,29305293,0.0
2024-12-06,2.130000114440918,2.319999933242798,2.109999895095825,2.319999933242798,162070610,9.952608937804497
2024-12-09,2.380000114440918,2.490000009536743,2.25,2.319999933242798,194891571,0.0
2024-12-10,2.319999933242798,2.3299999237060547,2.2100000381469727,2.2300000190734863,53528677,-3.8793067568546613
2024-12-11,2.2300000190734863,2.2899999618530273,2.200000047683716,2.2300000190734863,82451934,0.0
2024-12-12,2.240000009536743,2.25,2.1700000762939453,2.190000057220459,44141095,-1.793720247125663
2024-12-13,2.190000057220459,2.2300000190734863,2.109999895095825,2.2100000381469727,65708319,0.91324111433575
